Postcode,Bedrooms,PropertyType,VUDate,VTDate,TENDate,RUUseType,VUDays,VTDays,TotalVAC,HousingServiceCentre,LocalGovtAuthority,StateElectorate
4655,4,Detached House,1/05/2021,1/05/2021,1/05/2021,Public Housing,4,2,6,MARYBOROUGH ,Fraser Coast,Hervey Bay
4670,2,Apartment,1/11/2020,1/11/2020,1/11/2020,Public Housing,4,3,7,BUNDABERG ,Bundaberg,Bundaberg
4817,3,Detached House,1/02/2021,1/02/2021,1/03/2021,Public Housing,4,9,13,TOWNSVILLE ,Townsville,Thuringowa
4280,4,Detached House,1/12/2020,1/12/2020,1/01/2021,Public Housing,4,32,36,IPSWICH ,Logan,Logan
4179,4,Detached House,1/07/2020,1/07/2020,1/07/2020,Public Housing,5,0,5,BAYSIDE ,Brisbane,Lytton
4305,4,Detached House,1/12/2020,1/12/2020,1/12/2020,Public Housing,5,0,5,IPSWICH ,Ipswich,Ipswich West
4814,3,Detached House,1/12/2020,1/12/2020,1/12/2020,Public Housing,5,0,5,TOWNSVILLE ,Townsville,Mundingburra
4810,2,Apartment,1/01/2021,1/02/2021,1/02/2021,Public Housing,5,0,5,TOWNSVILLE ,Townsville,Townsville
4812,2,Apartment,1/01/2021,1/02/2021,1/02/2021,Public Housing,5,0,5,TOWNSVILLE ,Townsville,Townsville
4350,5,Detached House,1/04/2021,1/04/2021,1/04/2021,Public Housing,5,0,5,TOOWOOMBA AND SOUTH WEST ,Toowoomba,Toowoomba North
4670,3,Detached House,1/05/2021,1/05/2021,1/05/2021,Public Housing,5,0,5,BUNDABERG ,Bundaberg,Bundaberg
4124,3,Detached House,1/05/2021,1/06/2021,1/06/2021,Public Housing,5,0,5,LOGAN ,Logan,Logan
4814,3,Detached House,1/12/2020,1/12/2020,1/12/2020,Public Housing,5,1,6,TOWNSVILLE ,Townsville,Townsville
4670,2,Apartment,1/04/2021,1/04/2021,1/04/2021,Public Housing,5,1,6,BUNDABERG ,Bundaberg,Bundaberg
4615,4,Detached House,1/06/2021,1/06/2021,1/06/2021,Public Housing,5,2,7,MARYBOROUGH ,South Burnett,Nanango
4610,3,Detached House,1/07/2020,1/07/2020,1/08/2020,Public Housing,5,5,10,MARYBOROUGH ,South Burnett,Nanango
4305,3,Detached House,1/07/2020,1/08/2020,1/08/2020,Public Housing,6,0,6,IPSWICH ,Ipswich,Ipswich West
4610,2,Apartment,1/08/2020,1/08/2020,1/08/2020,Public Housing,6,0,6,MARYBOROUGH ,South Burnett,Nanango
4301,4,Detached House,1/11/2020,1/11/2020,1/11/2020,Public Housing,6,6,12,IPSWICH ,Ipswich,Bundamba
4655,3,Detached House,1/07/2020,1/08/2020,1/08/2020,Public Housing,7,0,7,MARYBOROUGH ,Fraser Coast,Hervey Bay
4814,3,Detached House,1/10/2020,1/10/2020,1/10/2020,Public Housing,7,0,7,TOWNSVILLE ,Townsville,Thuringowa
4301,4,Detached House,1/01/2021,1/01/2021,1/01/2021,Public Housing,7,0,7,IPSWICH ,Ipswich,Bundamba
4655,4,Detached House,1/07/2020,1/07/2020,1/08/2020,Public Housing,7,4,11,MARYBOROUGH ,Fraser Coast,Maryborough
4304,4,Detached House,1/07/2020,1/08/2020,1/08/2020,Public Housing,7,6,13,IPSWICH ,Ipswich,Ipswich
4556,4,Detached House,1/09/2020,1/09/2020,1/09/2020,Public Housing,8,0,8,MAROOCHYDORE ,Sunshine Coast,Buderim
4131,4,Detached House,1/04/2021,1/04/2021,1/04/2021,Public Housing,8,0,8,LOGAN ,Logan,Waterford
4610,3,Detached House,1/03/2021,1/03/2021,1/03/2021,Public Housing,8,1,9,MARYBOROUGH ,South Burnett,Nanango
4812,4,Detached House,1/11/2020,1/11/2020,1/11/2020,Public Housing,9,1,10,TOWNSVILLE ,Townsville,Townsville
4551,4,Detached House,1/03/2021,1/03/2021,1/03/2021,Public Housing,10,0,10,MAROOCHYDORE ,Sunshine Coast,Caloundra
4670,4,Detached House,1/04/2021,1/05/2021,1/05/2021,Public Housing,11,0,11,BUNDABERG ,Bundaberg,Burnett
4615,3,Detached House,1/12/2020,1/12/2020,1/12/2020,Public Housing,12,3,15,MARYBOROUGH ,South Burnett,Nanango
4655,4,Detached House,1/02/2021,1/02/2021,1/02/2021,Public Housing,15,1,16,MARYBOROUGH ,Fraser Coast,Hervey Bay
4814,2,Apartment,1/01/2021,1/02/2021,1/02/2021,Public Housing,16,0,16,TOWNSVILLE ,Townsville,Thuringowa
4114,3,Detached House,1/05/2021,1/06/2021,1/06/2021,Public Housing,23,0,23,LOGAN ,Logan,Woodridge
4558,3,Duplex,1/09/2020,1/09/2020,1/09/2020,Public Housing,0,0,0,MAROOCHYDORE ,Sunshine Coast,Maroochydore
4401,4,Detached House,1/10/2020,1/10/2020,1/10/2020,Public Housing,0,0,0,TOOWOOMBA AND SOUTH WEST ,Toowoomba,Condamine
4700,2,Townhouse,1/12/2020,1/12/2020,1/12/2020,Public Housing,0,0,0,ROCKHAMPTON ,Rockhampton,Rockhampton
4102,4,Detached House,1/06/2021,1/06/2021,1/06/2021,Public Housing,0,0,0,FORTITUDE VALLEY ,Brisbane,South Brisbane
4303,2,Apartment,1/09/2020,1/09/2020,1/09/2020,Public Housing,0,1,1,IPSWICH ,Ipswich,Bundamba
4700,2,Townhouse,1/12/2020,1/12/2020,1/12/2020,Public Housing,0,1,1,ROCKHAMPTON ,Rockhampton,Rockhampton
4702,4,Detached House,1/12/2020,1/12/2020,1/12/2020,Public Housing,0,1,1,ROCKHAMPTON ,Rockhampton,Rockhampton
4655,2,Apartment,1/05/2021,1/05/2021,1/05/2021,Public Housing,0,4,4,MARYBOROUGH ,Fraser Coast,Hervey Bay
4560,3,Townhouse,1/02/2021,1/02/2021,1/02/2021,Public Housing,0,5,5,MAROOCHYDORE ,Sunshine Coast,Nicklin
4300,4,Detached House,1/11/2020,1/11/2020,1/11/2020,Public Housing,0,8,8,IPSWICH ,Ipswich,Bundamba
4812,2,Apartment,1/03/2021,1/03/2021,1/04/2021,Public Housing,0,28,28,TOWNSVILLE ,Townsville,Mundingburra
4161,4,Detached House,1/06/2020,1/07/2020,1/07/2020,Public Housing,1,0,1,BAYSIDE ,Redland,Capalaba
4551,4,Detached House,1/08/2020,1/08/2020,1/08/2020,Public Housing,1,0,1,MAROOCHYDORE ,Sunshine Coast,Caloundra
4300,4,Detached House,1/12/2020,1/12/2020,1/12/2020,Public Housing,1,0,1,IPSWICH ,Ipswich,Jordan
4680,2,Apartment,1/04/2021,1/04/2021,1/04/2021,Public Housing,1,0,1,GLADSTONE ,Gladstone,Gladstone
4508,1,Apartment,1/09/2020,1/09/2020,1/09/2020,Public Housing,1,1,2,MORETON BAY ,Moreton Bay,Bancroft
4114,3,Detached House,1/12/2020,1/12/2020,1/12/2020,Public Housing,1,1,2,LOGAN ,Logan,Woodridge
4131,2,Detached House,1/10/2020,1/10/2020,1/10/2020,Public Housing,1,2,3,LOGAN ,Logan,Waterford
4710,4,Detached House,1/11/2020,1/11/2020,1/11/2020,Public Housing,1,4,5,ROCKHAMPTON ,Livingstone,Keppel
4301,2,Apartment,1/11/2020,1/11/2020,1/11/2020,Public Housing,1,0,1,IPSWICH ,Ipswich,Bundamba
4179,1,Apartment,1/10/2020,1/10/2020,1/10/2020,Public Housing,1,0,1,BAYSIDE ,Brisbane,Lytton
4178,1,Apartment,1/12/2020,1/12/2020,1/12/2020,Public Housing,1,0,1,BAYSIDE ,Brisbane,Lytton
4178,1,Apartment,1/07/2020,1/07/2020,1/07/2020,Public Housing,1,0,1,BAYSIDE ,Brisbane,Lytton
4127,2,Apartment,1/05/2021,1/05/2021,1/05/2021,Public Housing,1,0,1,LOGAN ,Logan,Springwood
4814,2,Apartment,1/02/2021,1/02/2021,1/02/2021,Public Housing,1,0,1,TOWNSVILLE ,Townsville,Mundingburra
4702,4,Detached House,1/05/2021,1/05/2021,1/05/2021,Public Housing,1,0,1,ROCKHAMPTON ,Rockhampton,Rockhampton
4701,5,Detached House,1/11/2020,1/11/2020,1/11/2020,Public Housing,1,0,1,ROCKHAMPTON ,Rockhampton,Keppel
4817,2,Duplex,1/05/2021,1/05/2021,1/05/2021,Public Housing,1,0,1,TOWNSVILLE ,Townsville,Thuringowa
4814,3,Detached House,1/05/2021,1/05/2021,1/05/2021,Public Housing,1,0,1,TOWNSVILLE ,Townsville,Mundingburra
4812,2,Duplex,1/02/2021,1/02/2021,1/02/2021,Public Housing,1,1,2,TOWNSVILLE ,Townsville,Townsville
4173,2,Apartment,1/11/2020,1/11/2020,1/11/2020,Public Housing,1,1,2,BAYSIDE ,Brisbane,Lytton
4179,1,Detached House,1/08/2020,1/08/2020,1/08/2020,Public Housing,1,1,2,BAYSIDE ,Brisbane,Lytton
4812,2,Apartment,1/05/2021,1/05/2021,1/05/2021,Public Housing,1,1,2,TOWNSVILLE ,Townsville,Townsville
4563,3,Detached House,1/01/2021,1/01/2021,1/01/2021,Public Housing,1,1,2,MAROOCHYDORE ,Noosa,Nicklin
4812,2,Apartment,1/02/2021,1/03/2021,1/03/2021,Public Housing,1,1,2,TOWNSVILLE ,Townsville,Townsville
4817,3,Detached House,1/03/2021,1/03/2021,1/03/2021,Public Housing,1,1,2,TOWNSVILLE ,Townsville,Thuringowa
4558,3,Detached House,1/11/2020,1/11/2020,1/11/2020,Public Housing,1,1,2,MAROOCHYDORE ,Sunshine Coast,Maroochydore
4019,4,Duplex,1/03/2021,1/03/2021,1/03/2021,Public Housing,1,1,2,MORETON BAY ,Moreton Bay,Redcliffe
4810,2,Apartment,1/03/2021,1/03/2021,1/04/2021,Public Housing,1,1,2,TOWNSVILLE ,Townsville,Townsville
4173,2,Apartment,1/10/2020,1/10/2020,1/10/2020,Public Housing,1,2,3,BAYSIDE ,Brisbane,Lytton
4815,2,Detached House,1/05/2021,1/05/2021,1/05/2021,Public Housing,1,3,4,TOWNSVILLE ,Townsville,Thuringowa
4158,4,Detached House,1/09/2020,1/09/2020,1/09/2020,Public Housing,1,3,4,BAYSIDE ,Redland,Capalaba
4814,2,Townhouse,1/03/2021,1/03/2021,1/03/2021,Public Housing,1,3,4,TOWNSVILLE ,Townsville,Mundingburra
4817,2,Apartment,1/04/2021,1/04/2021,1/04/2021,Public Housing,1,3,4,TOWNSVILLE ,Townsville,Thuringowa
